Name,Address,Justdial Phone,Business Phone,Rating,Reviews,Latitude,Longitude
Vrindavan Landscape - Top leading landscape company,"Worli Worli Sea Face, Mumbai",NULL,9867909355,7 Ratings,4.4,19.00921751,72.82088899
Ajay Plants Nursery,"gate no. 3, Opposit Bhatia Island, Madh - Marve Rd, near Malti cottage, Erangal Gaon, Malad West, Mumbai, Maharashtra 400061",NULL,9222196017,29 Ratings,4.6,19.16795453,72.78765321
Hruturaj Green & Nursuries,"Sector 25 Seawoods Road Nerul, Navi Mumbai",8971625201,NULL,15 Ratings,4.6,19.02299401,73.02299951
Patil Nursery,"Patil Nursery, opp. King George School, Arunoday Nagar, Mulund East, Mumbai, Maharashtra 400081",9845205033,NULL,84 Ratings,4.3,19.17133486,72.96698088
Petals Plants Nursery,"Plot Number. C-484 Lal Bahadur Shastri Road Thane West, Dharamveer Nagar, opp. raheja gardens, near Hotel Tip Top Plaza, Thane West, Maharashtra 400604",NULL,7045001320,80 Ratings,4.5,19.19193466,72.9601582
Green Garden Nursery,"Nr Bhuigaon-Dongri Talav, Giriz, Nirmal Rd, Vasai-Virar, Maharashtra 401201",NULL,9657703649,245 Ratings,4.3,19.38845116,72.78213454
Krushi Seva Kendra Shahapur,"NH 3 Shahapur, Thane",9845261369,9226745471,57 Ratings,4.3,19.45293842,73.33212095
Friends Flowers & Gardens Juhu,"N S Rd Number 10, Sainath Nagar, JVPD Scheme, Juhu, Mumbai, Maharashtra 400049",NULL,8082001100,128 Rating,5,19.11481165,72.828264
Raj Rose Nursery,"Airoli, Navi Mumbai",9972846596,NULL,2 Ratings,5,19.18129761,72.99090616
Ganpatrao Farm and Nursery,"Thane and Belapur Rd, beside Kopar Khairane Ghansoli Station Road, Dhirubhai Ambani Knowledge City, MIDC Industrial Area, Kopar Khairane, Navi Mumbai, Maharashtra 400709",NULL,9930696555,71 Ratings,4.1,19.1111276,73.01092346
Heavens Green Nursery,"Ground Floor Nana Niwas Gokhale Road, Baburao Parulekar Marg, beside fiesta bites, Dadar West, Mumbai, Maharashtra 400028",9606410309,9321852973,22 Rating,4.1,19.02409202,72.8323839
Watermelon Nursery,"6X7H+84R, Ghodbunder Rd, Sainath Nagar, Thane West, Thane, Maharashtra 400601",Null,Null,79 Ratings,4,19.21432881,72.97778031
Leafe Nursery,"Madh Jetty Road Malad West, Mumbai",9980151267,7738448956,6 Ratings,5,19.14429761,72.79958051
Agro Care Products,"S V Road Khar West, Mumbai",9845159240,9820050816,122 Ratings,4.2,19.0691347,72.83739464
Anshvel Plant Nursery,"AT. Gundale Po. Mahagaon, near Adhikari Fuel Pump, Boisar, Maharashtra 401501",7041632435,NULL,34 Ratings,4.8,19.7808555,72.82869141
Poonam Rose Nursery,"Marve Road Malad West, Mumbai",7411664696,9594113874,40 Ratings,4.1,19.19694802,72.80535391
Call for Garden,"Sanchit Co. Op,. Hsg. Soc, Empire Tower, Shop No 4 , B Wing, near Pragnyaboshini High School, Jay Prakash Nagar, Goregaon, Mumbai, Maharashtra 400063",9054397477,9920918651,27 Ratings,4.8,19.17872925,72.85479312
Green Garden Centre,"Magthane Borivali East, Mumbai",NULL,9773566607,23 Ratings,4.3,19.22240615,72.86838517
Sunny Nursery,"1, Orchard Ave, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076",8460452241,9867453457,226 Ratings,4.7,19.12430854,72.91035723
Plantae World,"Adi Marzaban Path Fort, Mumbai",8460243696,9967786444,19 Ratings,5,18.93696015,72.8386505
